Census_Region,Census_Region_Code,Ten_Year_Age_Groups,Gender,Gender_Code,Year,Year_Code,Deaths,Population,Crude_Rate
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2014,2014,3716,3965634,93.7
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2015,2015,3861,3913887,98.6
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2016,2016,4215,3829349,110.1
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2017,2017,4761,3757897,126.7
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2018,2018,4415,3636060,121.4
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2019,2019,4286,3524378,121.6
Census Region 1: Northeast,CENS-R1,45-54 years,Male,M,2020,2020,4696,3432285,136.8
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,1999,1999,512,2490616,20.6
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2000,2000,522,2530234,20.6
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2001,2001,545,2597428,21
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2002,2002,514,2745543,18.7
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2003,2003,571,2859497,20
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2004,2004,618,2967389,20.8
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2005,2005,647,3070908,21.1
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2006,2006,740,3173369,23.3
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2007,2007,802,3264717,24.6
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2008,2008,749,3339342,22.4
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2009,2009,797,3446956,23.1
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2010,2010,932,3542140,26.3
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2011,2011,1003,3683065,27.2
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2012,2012,1057,3724015,28.4
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2013,2013,1165,3789996,30.7
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2014,2014,1178,3857118,30.5
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2015,2015,1335,3923478,34
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2016,2016,1469,3964240,37.1
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2017,2017,1571,4009611,39.2
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2018,2018,1656,4012935,41.3
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2019,2019,1600,4017594,39.8
Census Region 1: Northeast,CENS-R1,55-64 years,Female,F,2020,2020,1743,4001060,43.6
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,1999,1999,1233,2240726,55
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2000,2000,1250,2277137,54.9
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2001,2001,1305,2341598,55.7
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2002,2002,1358,2484162,54.7
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2003,2003,1499,2593011,57.8
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2004,2004,1530,2693852,56.8
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2005,2005,1643,2796568,58.8
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2006,2006,1796,2897402,62
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2007,2007,1925,2989481,64.4
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2008,2008,2081,3064392,67.9
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2009,2009,2054,3172022,64.8
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2010,2010,2336,3267764,71.5
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2011,2011,2561,3403214,75.3
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2012,2012,2601,3444402,75.5
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2013,2013,2798,3513148,79.6
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2014,2014,2842,3579635,79.4
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2015,2015,3235,3646026,88.7
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2016,2016,3657,3685121,99.2
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2017,2017,3899,3727307,104.6
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2018,2018,4110,3731937,110.1
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2019,2019,4275,3735601,114.4
Census Region 1: Northeast,CENS-R1,55-64 years,Male,M,2020,2020,4617,3721049,124.1
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,1999,1999,678,2112718,32.1
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2000,2000,664,2096915,31.7
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2001,2001,660,2061685,32
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2002,2002,637,2035787,31.3
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2003,2003,631,2016776,31.3
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2004,2004,641,2002041,32
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2005,2005,644,1988853,32.4
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2006,2006,622,1986662,31.3
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2007,2007,609,2014622,30.2
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2008,2008,672,2082673,32.3
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2009,2009,653,2137817,30.5
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2010,2010,677,2172306,31.2
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2011,2011,764,2229610,34.3
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2012,2012,772,2366943,32.6
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2013,2013,781,2470911,31.6
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2014,2014,891,2566600,34.7
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2015,2015,886,2660995,33.3
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2016,2016,917,2749041,33.4
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2017,2017,1078,2850396,37.8
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2018,2018,1053,2900579,36.3
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2019,2019,1148,2985291,38.5
Census Region 1: Northeast,CENS-R1,65-74 years,Female,F,2020,2020,1206,3077686,39.2
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,1999,1999,1202,1677845,71.6
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2000,2000,1091,1671357,65.3
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2001,2001,1111,1657235,67
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2002,2002,1157,1644652,70.3
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2003,2003,1096,1638435,66.9
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2004,2004,1093,1636629,66.8
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2005,2005,1124,1634541,68.8
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2006,2006,1095,1640200,66.8
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2007,2007,1224,1670925,73.3
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2008,2008,1247,1736436,71.8
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2009,2009,1177,1788614,65.8
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2010,2010,1289,1823502,70.7
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2011,2011,1372,1881621,72.9
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2012,2012,1470,2011542,73.1
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2013,2013,1634,2113057,77.3
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2014,2014,1648,2198979,74.9
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2015,2015,1817,2287000,79.4
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2016,2016,1946,2366731,82.2
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2017,2017,2059,2462621,83.6
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2018,2018,2301,2512576,91.6
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2019,2019,2472,2590827,95.4
Census Region 1: Northeast,CENS-R1,65-74 years,Male,M,2020,2020,2528,2675548,94.5
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,1999,1999,1331,1627643,81.8
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2000,2000,1263,1644519,76.8
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2001,2001,1390,1660391,83.7
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2002,2002,1347,1669900,80.7
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2003,2003,1302,1670777,77.9
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2004,2004,1320,1667198,79.2
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2005,2005,1298,1654802,78.4
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2006,2006,1320,1635957,80.7
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2007,2007,1305,1617224,80.7
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2008,2008,1315,1591742,82.6
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2009,2009,1257,1561116,80.5
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2010,2010,1288,1546270,83.3
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2011,2011,1247,1525575,81.7
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2012,2012,1316,1512261,87
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2013,2013,1279,1501941,85.2
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2014,2014,1303,1499107,86.9
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2015,2015,1257,1499351,83.8
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2016,2016,1266,1510534,83.8
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2017,2017,1331,1558813,85.4
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2018,2018,1365,1612356,84.7
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2019,2019,1477,1658018,89.1
Census Region 1: Northeast,CENS-R1,75-84 years,Female,F,2020,2020,1507,1691363,89.1
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,1999,1999,1551,1008566,153.8
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2000,2000,1456,1021032,142.6
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2001,2001,1567,1043058,150.2
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2002,2002,1556,1060798,146.7
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2003,2003,1566,1072495,146
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2004,2004,1521,1081016,140.7
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2005,2005,1555,1084471,143.4
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2006,2006,1546,1082397,142.8
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2007,2007,1652,1080323,152.9
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2008,2008,1606,1073829,149.6
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2009,2009,1589,1064581,149.3
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2010,2010,1601,1063053,150.6
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2011,2011,1714,1063861,161.1
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2012,2012,1630,1063910,153.2
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2013,2013,1674,1067932,156.8
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2014,2014,1683,1076146,156.4
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2015,2015,1712,1085011,157.8
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2016,2016,1699,1100709,154.4
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2017,2017,1813,1142964,158.6
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2018,2018,2020,1190748,169.6
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2019,2019,2055,1229637,167.1
Census Region 1: Northeast,CENS-R1,75-84 years,Male,M,2020,2020,2078,1260070,164.9
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,1999,1999,1538,665957,230.9
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2000,2000,1501,678461,221.2
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2001,2001,1630,688638,236.7
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2002,2002,1562,696504,224.3
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2003,2003,1594,709820,224.6
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2004,2004,1675,716859,233.7
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2005,2005,1709,734381,232.7
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2006,2006,1777,754794,235.4
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2007,2007,1822,774156,235.4
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2008,2008,1970,791186,249
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2009,2009,2016,810265,248.8
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2010,2010,2183,823724,265
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2011,2011,2301,846082,272
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2012,2012,2320,858625,270.2
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2013,2013,2455,871758,281.6
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2014,2014,2516,876012,287.2
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2015,2015,2690,880345,305.6
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2016,2016,2682,883134,303.7
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2017,2017,2797,899374,311
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2018,2018,2815,894051,314.9
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2019,2019,2864,889464,322
Census Region 1: Northeast,CENS-R1,85+ years,Female,F,2020,2020,2855,882646,323.5
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,1999,1999,989,252186,392.2
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2000,2000,958,259998,368.5
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2001,2001,976,267892,364.3
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2002,2002,1040,275896,377
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2003,2003,1072,286947,373.6
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2004,2004,1091,295089,369.7
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2005,2005,1146,308709,371.2
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2006,2006,1148,324573,353.7
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2007,2007,1249,338976,368.5
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2008,2008,1355,352128,384.8
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2009,2009,1335,365611,365.1
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2010,2010,1426,375978,379.3
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2011,2011,1568,394077,397.9
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2012,2012,1656,406165,407.7
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2013,2013,1714,420222,407.9
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2014,2014,1836,428350,428.6
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2015,2015,1877,436402,430.1
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2016,2016,1851,441443,419.3
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2017,2017,2119,454529,466.2
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2018,2018,2177,456707,476.7
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2019,2019,2179,462596,471
Census Region 1: Northeast,CENS-R1,85+ years,Male,M,2020,2020,2227,462345,481.7
Census Region 1: Northeast,CENS-R1,Not Stated,Male,M,1999,1999,16,Not Applicable,Not Applicable
Census Region 1: Northeast,CENS-R1,Not Stated,Male,M,2001,2001,19,Not Applicable,Not Applicable
Census Region 1: Northeast,CENS-R1,Not Stated,Male,M,2002,2002,18,Not Applicable,Not Applicable
Census Region 1: Northeast,CENS-R1,Not Stated,Male,M,2011,2011,12,Not Applicable,Not Applicable
Census Region 1: Northeast,CENS-R1,Not Stated,Male,M,2017,2017,12,Not Applicable,Not Applicable
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,1999,1999,136,416182,32.7
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2000,2000,160,418961,38.2
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2001,2001,184,434343,42.4
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2002,2002,187,422603,44.2
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2003,2003,161,422966,38.1
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2004,2004,199,427913,46.5
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2005,2005,191,420689,45.4
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2006,2006,194,425789,45.6
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2007,2007,216,433288,49.9
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2008,2008,253,427912,59.1
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2009,2009,192,417846,45.9
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2010,2010,178,411182,43.3
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2011,2011,211,410619,51.4
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2012,2012,187,401691,46.6
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2013,2013,201,402721,49.9
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2014,2014,188,403814,46.6
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2015,2015,209,406066,51.5
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2016,2016,215,403819,53.2
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2017,2017,207,400245,51.7
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2018,2018,204,391445,52.1
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2019,2019,213,385396,55.3
Census Region 2: Midwest,CENS-R2,< 1 year,Female,F,2020,2020,216,381835,56.6
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,1999,1999,228,437580,52.1
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2000,2000,216,440646,49
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2001,2001,234,452777,51.7
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2002,2002,234,441495,53
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2003,2003,233,443939,52.5
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2004,2004,235,448986,52.3
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2005,2005,242,441118,54.9
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2006,2006,269,444861,60.5
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2007,2007,285,452797,62.9
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2008,2008,320,445593,71.8
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2009,2009,298,436279,68.3
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2010,2010,266,430572,61.8
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2011,2011,267,429491,62.2
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2012,2012,288,421076,68.4
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2013,2013,271,422544,64.1
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2014,2014,268,423171,63.3
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2015,2015,304,426193,71.3
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2016,2016,277,423389,65.4
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2017,2017,297,419284,70.8
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2018,2018,306,409882,74.7
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2019,2019,325,403780,80.5
Census Region 2: Midwest,CENS-R2,< 1 year,Male,M,2020,2020,268,399115,67.1
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,1999,1999,224,1706235,13.1
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2000,2000,187,1707803,10.9
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2001,2001,192,1692123,11.3
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2002,2002,170,1702340,10
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2003,2003,193,1702050,11.3
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2004,2004,194,1701616,11.4
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2005,2005,174,1705672,10.2
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2006,2006,177,1692524,10.5
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2007,2007,156,1694185,9.2
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2008,2008,176,1703355,10.3
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2009,2009,157,1706552,9.2
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2010,2010,159,1710221,9.3
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2011,2011,159,1686173,9.4
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2012,2012,139,1665751,8.3
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2013,2013,128,1641631,7.8
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2014,2014,142,1633445,8.7
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2015,2015,133,1630744,8.2
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2016,2016,150,1633673,9.2
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2017,2017,139,1637695,8.5
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2018,2018,154,1632197,9.4
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2019,2019,138,1616986,8.5
Census Region 2: Midwest,CENS-R2,1-4 years,Female,F,2020,2020,131,1594836,8.2
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,1999,1999,311,1784256,17.4
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2000,2000,306,1785759,17.1
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2001,2001,275,1769546,15.5
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2002,2002,276,1778264,15.5
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2003,2003,287,1776662,16.2
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2004,2004,241,1778354,13.6
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2005,2005,249,1781672,14
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2006,2006,232,1770036,13.1
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2007,2007,262,1772205,14.8
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2008,2008,253,1779868,14.2
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2009,2009,242,1779913,13.6
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2010,2010,227,1782742,12.7
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2011,2011,237,1756822,13.5
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2012,2012,238,1739224,13.7
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2013,2013,201,1719278,11.7
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2014,2014,183,1712690,10.7
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2015,2015,207,1708916,12.1
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2016,2016,214,1712467,12.5
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2017,2017,239,1715659,13.9
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2018,2018,200,1712325,11.7
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2019,2019,200,1693695,11.8
Census Region 2: Midwest,CENS-R2,1-4 years,Male,M,2020,2020,210,1668442,12.6
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,1999,1999,332,4601727,7.2
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2000,2000,335,4607524,7.3
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2001,2001,288,4586859,6.3
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2002,2002,308,4562496,6.8
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2003,2003,251,4535724,5.5
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2004,2004,313,4502645,7
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2005,2005,261,4454516,5.9
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2006,2006,254,4430153,5.7
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2007,2007,269,4402620,6.1
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2008,2008,196,4385498,4.5
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2009,2009,170,4380099,3.9
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2010,2010,193,4375665,4.4
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2011,2011,172,4351666,4
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2012,2012,199,4346386,4.6
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2013,2013,179,4338985,4.1
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2014,2014,178,4314715,4.1
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2015,2015,219,4283808,5.1
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2016,2016,208,4249397,4.9
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2017,2017,210,4235605,5
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2018,2018,213,4224394,5
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2019,2019,219,4203227,5.2
Census Region 2: Midwest,CENS-R2,5-14 years,Female,F,2020,2020,211,4189717,5
Census Region 2: Midwest,CENS-R2,5-14 years,Male,M,1999,1999,533,4839137,11
Census Region 2: Midwest,CENS-R2,5-14 years,Male,M,2000,2000,588,4844411,12.1
Census Region 2: Midwest,CENS-R2,5-14 years,Male,M,2001,2001,501,4823278,10.4
Census Region 2: Midwest,CENS-R2,5-14 years,Male,M,2002,2002,521,4796425,10.9
Census Region 2: Midwest,CENS-R2,5-14 years,Male,M,2003,2003,501,4764554,10.5
